hs6,d_aap_original,d_aap_expanded
010190,0,1
020321,1,1
020322,1,1
020329,1,1
020430,0,1
020442,0,1
020443,0,1
020621,1,1
020622,1,1
020629,1,1
020641,1,1
020649,1,1
020714,1,1
020725,0,1
020727,1,1
021011,1,1
021012,1,1
021019,1,1
021020,1,1
021099,0,1
030211,1,1
030213,0,1
030247,0,1
030283,0,1
030289,0,1
030311,1,1
030312,0,1
030313,0,1
030314,0,1
030319,1,0
030325,0,1
030353,0,1
030354,0,1
030357,0,1
030363,0,1
030366,0,1
030383,0,1
030384,0,1
030389,0,1
030439,0,1
030445,0,1
030446,0,1
030449,0,1
030451,0,1
030454,0,1
030455,0,1
030459,0,1
030461,0,1
030485,0,1
030489,0,1
030491,0,1
030492,0,1
030493,0,1
030499,0,1
030520,1,1
030531,0,1
030532,0,1
030539,0,1
030541,1,1
030544,0,1
030549,1,1
030559,1,1
030564,0,1
030569,1,1
030614,1,1
030616,0,1
030617,0,1
030619,0,1
030721,1,1
030729,1,1
030739,1,1
030759,1,1
030779,0,1
030789,0,1
030791,1,1
030799,1,1
050400,0,1
051191,0,1
051199,0,1
070310,0,1
070320,0,1
071021,0,1
071030,1,1
071080,0,1
071090,0,1
071290,0,1
071320,0,1
071331,0,1
071333,0,1
071340,0,1
080221,0,1
080440,0,1
080610,0,1
080910,0,1
080921,0,1
080929,0,1
080930,0,1
081020,0,1
081040,0,1
081050,0,1
081090,0,1
081110,0,1
081120,0,1
081190,0,1
081210,0,1
081320,0,1
090421,0,1
090422,0,1
110422,0,1
110710,0,1
110720,0,1
120922,0,1
120930,0,1
120991,0,1
120999,0,1
121190,0,1
121221,0,1
121490,0,1
130231,0,1
130239,0,1
150410,0,1
150420,0,1
150990,0,1
160100,1,1
160210,1,1
160231,1,1
160232,1,1
160239,1,1
160241,1,1
160249,1,1
160250,1,1
160411,1,1
160413,1,1
160415,1,1
160416,1,1
160419,1,1
160420,1,1
160510,1,1
160521,0,1
160529,0,1
160551,0,1
160554,0,1
160555,0,1
160556,0,1
160559,0,1
170410,0,1
170490,0,1
180631,0,1
180632,0,1
190110,0,1
190190,0,1
190219,0,1
190410,0,1
190531,0,1
190532,0,1
200190,0,1
200290,0,1
200570,1,1
200799,0,1
200819,0,1
200860,0,1
200870,0,1
200897,0,1
200961,0,1
200969,0,1
200979,0,1
200989,0,1
210210,0,1
210320,0,1
210410,0,1
210500,0,1
220210,0,1
230110,0,1
230120,1,1
230320,0,1
230910,1,1
250100,1,1
250300,0,1
250700,0,1
251200,0,1
252800,0,1
253090,0,1
260111,0,1
260112,0,1
260300,1,1
261310,0,1
261390,0,1
261590,0,1
261610,0,1
261690,0,1
262099,0,1
271113,0,1
271500,0,1
280110,0,1
280120,1,1
280490,0,1
280700,0,1
281000,0,1
282520,0,1
282530,0,1
282570,0,1
282739,0,1
282741,0,1
282760,1,1
282990,1,1
283325,0,1
283421,0,1
283691,1,1
283919,1,1
284170,1,1
284190,0,1
284800,1,0
290619,0,1
291539,1,1
291570,1,1
291734,0,1
291735,0,1
291812,0,1
294200,0,1
300410,0,1
300420,0,1
300432,0,1
300439,0,1
300450,0,1
300490,0,1
310230,0,1
310290,0,1
310420,0,1
310430,1,1
310490,0,1
310520,0,1
310540,0,1
310559,0,1
310590,1,1
320619,0,1
330499,0,1
330510,0,1
330720,0,1
340290,1,1
350610,0,1
360200,0,1
360300,0,1
380210,0,1
380290,0,1
380892,0,1
381190,0,1
382200,0,1
390740,0,1
391310,0,1
391721,0,1
391732,0,1
391990,0,1
392092,0,1
392690,0,1
401699,0,1
410411,1,1
410419,1,1
410441,1,1
410449,1,1
410691,0,1
410792,1,1
430310,1,1
440122,0,1
440799,0,1
440810,1,1
440910,0,1
441011,0,1
441012,0,1
441019,0,1
441112,0,1
441113,0,1
441114,0,1
441192,0,1
441193,0,1
441194,0,1
441239,0,1
441299,0,1
441510,0,1
441520,1,1
441600,0,1
441700,0,1
441810,1,1
441820,1,1
442190,1,0
450310,0,1
450490,0,1
470311,0,1
470319,0,1
470321,1,1
470329,1,1
470790,0,1
480100,1,1
480255,0,1
480258,0,1
480300,0,1
480421,0,1
480429,0,1
480519,0,1
480524,0,1
480525,0,1
480591,0,1
480592,0,1
480810,0,1
481019,0,1
481032,0,1
481092,0,1
481099,0,1
481141,0,1
481151,0,1
481159,0,1
481190,0,1
481420,0,1
481620,0,1
481810,0,1
481820,0,1
481830,0,1
481890,0,1
481910,0,1
481930,0,1
481940,0,1
481950,0,1
482010,0,1
482020,0,1
482030,0,1
482040,0,1
482210,0,1
482290,0,1
482370,0,1
482390,1,1
490191,0,1
490199,0,1
491110,0,1
491199,0,1
510111,1,1
510129,0,1
510219,0,1
510310,1,1
510529,0,1
510910,0,1
510990,0,1
540720,0,1
550510,0,1
550932,0,1
630533,0,1
640391,0,1
640399,0,1
680421,0,1
680911,0,1
681182,0,1
681599,0,1
691090,0,1
700529,0,1
700729,0,1
701090,0,1
701990,0,1
710239,0,1
710510,0,1
710691,0,1
710812,0,1
711292,0,1
711299,0,1
711810,0,1
720229,0,1
720270,0,1
720421,1,1
720429,0,1
720449,0,1
721061,0,1
721240,0,1
721391,0,1
721420,0,1
721499,0,1
721621,0,1
722611,0,1
722880,0,1
722920,0,1
730459,0,1
730630,0,1
730820,0,1
730840,0,1
730890,0,1
731010,0,1
731029,0,1
731210,0,1
732111,0,1
732591,0,1
732611,0,1
732690,0,1
740100,0,1
740200,0,1
740311,0,1
740313,0,1
740319,0,1
740721,0,1
740729,0,1
740919,0,1
741110,0,1
741300,0,1
741999,0,1
760200,0,1
760720,0,1
761090,0,1
761290,0,1
780191,0,1
780199,0,1
780200,0,1
780600,0,1
811299,0,1
820713,0,1
820719,0,1
820900,0,1
821193,0,1
830242,0,1
830990,0,1
831110,0,1
841199,0,1
841391,0,1
841490,0,1
841911,0,1
842199,0,1
842490,0,1
842649,0,1
842890,0,1
843041,0,1
843049,0,1
843139,0,1
843143,0,1
843149,0,1
845090,0,1
845190,0,1
845929,0,1
846691,0,1
847410,0,1
847490,0,1
847989,0,1
847990,0,1
848180,0,1
848299,0,1
850490,0,1
850680,0,1
850980,0,1
852580,0,1
852990,0,1
853090,0,1
854449,0,1
854460,0,1
854810,0,1
880230,0,1
880330,0,1
890120,0,1
890200,0,1
890400,1,1
890790,0,1
902990,0,1
940320,0,1
940350,0,1
940360,0,1
940390,0,1
940429,0,1
950300,0,1
961900,0,1
